id	name	group	category	preview_file
0	Idle	DailyActions	Idle	Idle.gif
1	Walking_Woman	WalkAndRun	Walking	Walking_Woman_woman.gif
2	Alert	DailyActions	LookingAround	Alert.gif
3	Arise	DailyActions	LookingAround	Arise.gif
4	Attack	Fighting	AttackingwithWeapon	Attack.gif
5	BackLeft_run	WalkAndRun	Running	BackLeft_run.gif
6	BackRight_Run	WalkAndRun	Running	BackRight_Run.gif
7	BeHit_FlyUp	Fighting	GettingHit	BeHit_FlyUp.gif
8	Dead	Fighting	Dying	Dead.gif
9	ForwardLeft_Run_Fight	Fighting	Transitioning	ForwardLeft_Run_Fight.gif
10	ForwardRight_Run_Fight	Fighting	Transitioning	ForwardRight_Run_Fight.gif
11	Idle_02	DailyActions	Idle	Idle_02.gif
12	Idle_03	DailyActions	Idle	Idle_03.gif
13	Jump_Run	WalkAndRun	Running	Jump_Run.gif
14	Run_02	WalkAndRun	Running	Run_02.gif
15	Run_03	WalkAndRun	Running	Run_03.gif
16	RunFast	WalkAndRun	Running	RunFast.gif
17	Skill_01	BodyMovements	Acting	Skill_01.gif
18	Skill_02	BodyMovements	Acting	Skill_02.gif
19	Skill_03	BodyMovements	Acting	Skill_03.gif
20	Walk_Fight_Back	WalkAndRun	Walking	Walk_Fight_Back.gif
21	Walk_Fight_Forward	WalkAndRun	Walking	Walk_Fight_Forward.gif
22	FunnyDancing_01	Dancing	Dancing	FunnyDancing_01.gif
23	FunnyDancing_02	Dancing	Dancing	FunnyDancing_02.gif
24	FunnyDancing_03	Dancing	Dancing	FunnyDancing_03.gif
25	Agree_Gesture	DailyActions	Interacting	Agree_Gesture.gif
26	Angry_Stomp	DailyActions	Interacting	Angry_Stomp.gif
27	Big_Heart_Gesture	BodyMovements	Acting	Big_Heart_Gesture.gif
28	Big_Wave_Hello	DailyActions	Interacting	Big_Wave_Hello.gif
29	Call_Gesture	BodyMovements	Acting	Call_Gesture.gif
30	Casual_Walk	WalkAndRun	Walking	Casual_Walk.gif
31	Catching_Breath	BodyMovements	Acting	Catching_Breath.gif
32	Chair_Sit_Idle_F	DailyActions	Idle	Chair_Sit_Idle_F.gif
33	Chair_Sit_Idle_M	DailyActions	Idle	Chair_Sit_Idle_M.gif
34	Checkout_Gesture	DailyActions	Interacting	Checkout_Gesture.gif
35	Clapping_Run	BodyMovements	Acting	Clapping_Run.gif
36	Confused_Scratch	DailyActions	Idle	Confused_Scratch.gif
37	Discuss_While_Moving	DailyActions	Interacting	Discuss_While_Moving.gif
38	Dozing_Elderly	DailyActions	Idle	Dozing_Elderly.gif
39	Excited_Walk_F	BodyMovements	Acting	Excited_Walk_F.gif
40	Excited_Walk_M	BodyMovements	Acting	Excited_Walk_M.gif
41	Formal_Bow	DailyActions	Interacting	Formal_Bow.gif
42	Gentlemans_Bow	DailyActions	Interacting	Gentleman%E2%80%99s_Bow.gif
43	Handbag_Walk	BodyMovements	Acting	Handbag_Walk.gif
44	Happy_jump_f	BodyMovements	Acting	Happy_Jump_F.gif
45	Indoor_Play	BodyMovements	Acting	Indoor_Play.gif
46	Jump_Rope	BodyMovements	Acting	Jump_Rope.gif
47	Listening_Gesture	DailyActions	Interacting	Listening_Gesture.gif
48	Mirror_Viewing	DailyActions	Idle	Mirror_Viewing.gif
49	Motivational_Cheer	DailyActions	Interacting	Motivational_Cheer.gif
50	Phone_Call_Gesture	DailyActions	Interacting	Phone_Call_Gesture.gif
51	Shouting_Angrily	BodyMovements	Acting	Shouting_Angrily.gif
52	Sit_to_Stand_Transition_F	DailyActions	Transitioning	Sit_to_Stand_Transition_F.gif
53	Sit_to_Stand_Transition_M	DailyActions	Transitioning	Sit_to_Stand_Transition_M.gif
54	Squat_Stance	Dancing	Dancing	Squat_Stance.gif
55	Stage_Walk	WalkAndRun	Walking	Stage_Walk.gif
56	Stand_and_Chat	DailyActions	Interacting	Stand_and_Chat.gif
57	Stand_to_Sit_Transition_M	DailyActions	Transitioning	Stand_to_Sit_Transition_M.gif
58	Step_to_Sit_Transition	DailyActions	Transitioning	Step_to_Sit_Transition.gif
59	Victory_Cheer	BodyMovements	Acting	Victory_Cheer.gif
60	Walk_to_Sit	DailyActions	Transitioning	Walk_to_Sit.gif
61	happy_jump_m	BodyMovements	Acting	Happy_Jump_M.gif
62	penguin_walk	BodyMovements	Acting	Penguin_walk.gif
63	Arm_Circle_Shuffle	Dancing	Dancing	Arm_Circle_Shuffle.gif
64	All_Night_Dance	Dancing	Dancing	All_Night_Dance.gif
65	Bass_Beats	Dancing	Dancing	Bass_Beats.gif
66	Boom_Dance	Dancing	Dancing	Boom_Dance.gif
67	Bubble_Dance	Dancing	Dancing	Bubble_Dance.gif
68	Cherish_Pop_Dance	Dancing	Dancing	Cherish_Pop_Dance.gif
69	Crystal_Beads	Dancing	Dancing	Crystal_Beads.gif
70	Cardio_Dance	Dancing	Dancing	Cardio_Dance.gif
71	Denim_Pop_Dance	Dancing	Dancing	Denim_Pop_Dance.gif
72	Dont_You_Dare	Dancing	Dancing	Dont_You_Dare.gif
73	Fast_Lightning	Dancing	Dancing	Fast_Lightning.gif
74	Gangnam_Groove	Dancing	Dancing	Gangnam_Groove.gif
75	Indoor_Swing	Dancing	Dancing	Indoor_Swing.gif
76	Love_You_Pop_Dance	Dancing	Dancing	Love_You_Pop_Dance.gif
77	Magic_Genie	Dancing	Dancing	Magic_Genie.gif
78	Not_Your_Mom	Dancing	Dancing	Not_Your_Mom.gif
79	OMG_Groove	Dancing	Dancing	OMG_Groove.gif
80	Pop_Dance_LSA2	Dancing	Dancing	Pop_Dance_LSA2.gif
81	Pod_Baby_Groove	Dancing	Dancing	Pod_Baby_Groove.gif
82	Shake_It_Off_Dance	Dancing	Dancing	Shake_It_Off_Dance.gif
83	Superlove_Pop_Dance	Dancing	Dancing	Superlove_Pop_Dance.gif
84	You_Groove	Dancing	Dancing	You_Groove.gif
85	Axe_Stance	Fighting	Transitioning	Axe_Stance.gif
